Cosine_th,Density (gr/cm3),Energy (GeV),Eta (1/GeV/sr/s/cm2),Height (km),Slant depth (gr/cm2)
0.0,4.5202228410440214e-08,0.54785,1.2642345941413587e-21,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,0.7995060089238469,1.2642345941413587e-21,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,1.1667607160816622,1.2642345941413587e-21,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,1.5559004211011234,1.2639536675167009e-21,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,2.074826557850289,1.1910582411536435e-21,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,2.7668256829150173,1.0569885589232631e-21,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,3.689621347227101,8.008004950338119e-22,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,4.920189143094657,5.070455554043613e-22,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,6.561177672614025,2.9548428716078233e-22,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,8.749471046662281,1.8160178255292072e-22,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,11.667607160816619,1.1431901085332045e-22,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,15.559004211011233,7.086809979733829e-23,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,20.748265578502885,4.2594770980332725e-23,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,27.66825682915017,2.544288560164745e-23,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,36.89621347227101,1.4779079346625148e-23,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,49.20189143094657,8.549386435629799e-24,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,65.61177672614025,4.966764403356152e-24,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,87.49471046662279,2.943257971452301e-24,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,116.6760716081662,1.794533739743915e-24,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,155.59004211011234,1.1162830423233131e-24,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,207.48265578502892,6.9264055472958545e-25,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,276.68256829150175,4.315939610127524e-25,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,368.9621347227101,2.7013596904071667e-25,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,492.0189143094657,1.6943706358537774e-25,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,656.1177672614024,1.058660105517817e-25,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,874.9471046662279,6.636792308439724e-26,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,1166.760716081662,4.1900652547833376e-26,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,1555.9004211011234,2.625385394518513e-26,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,2074.8265578502887,1.65236470654785e-26,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,2766.8256829150173,1.040218447268837e-26,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,3689.6213472271006,6.550979519994068e-27,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,4920.189143094656,4.116197011354953e-27,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,6561.177672614024,2.593064610948554e-27,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,8749.471046662278,1.6254801888554664e-27,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,11667.60716081662,1.0177923107539967e-27,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,15559.004211011234,6.3679297468842615e-28,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,20748.26557850289,3.9753463833130667e-28,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,27668.25682915017,2.4737433575844654e-28,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,36896.213472271,1.5340646365577846e-28,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,49201.89143094656,9.446168407848514e-29,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,65611.77672614025,5.773983624575104e-29,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,87494.71046662277,3.481623282166805e-29,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,116676.0716081662,2.102182692030641e-29,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,155590.04211011232,1.2413321009158976e-29,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,207482.6557850289,7.259621363445919e-30,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,276682.5682915017,4.18243245025997e-30,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,368962.13472271006,2.353228876684962e-30,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,492018.9143094657,1.3058575372837177e-30,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,656117.7672614024,7.0248311495660355e-31,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,874947.1046662279,3.6732429954638155e-31,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,1166760.716081662,1.9086906409389906e-31,78.38775510204081,0.14844274457711568
0.0,4.5202228410440214e-08,1555900.4211011238,9.614041217848863e-32,78.38775510204081,0.14844274457711568
