Cosine_th,Density (gr/cm3),Energy (GeV),Flx_JPsi (1/GeV/sr/s/cm2),Height (km),Slant depth (gr/cm2)
0.0,0.0011904113309848744,3.2423459370776344,1.1052800515309098e-62,1.0,23152.231758048227
0.0,0.0010529249087193452,3.2423459370776344,1.4791541260638038e-60,2.09708065261194,18021.53625121671
0.0,0.0009293985108275,3.2423459370776344,1.1779359779271671e-54,3.1682091496829017,14027.838536171334
0.0,0.0008125146511194796,3.2423459370776344,6.180162249248991e-50,4.2773032909805915,10919.171998092426
0.0,0.0006931202191597446,3.2423459370776344,7.328560538160429e-47,5.576327964877436,8499.40757562121
0.0,0.0005865831690492486,3.2423459370776344,1.0902464574720007e-44,6.868806958894496,6615.879770842297
0.0,0.0004925047086301519,3.2423459370776344,4.189850988977768e-43,8.138876495625299,5149.754821475443
0.0,0.000409059259054996,3.2423459370776344,1.4141814029432698e-41,9.398719267561004,4008.533353068054
0.0,0.00033333157248781467,3.2423459370776344,5.408775186335671e-40,10.697341155239489,3120.214495581626
0.0,0.00026569613787706556,3.2423459370776344,1.2158052688854088e-38,12.120052402264509,2428.753272312462
0.0,0.00021187605736966737,3.2423459370776344,1.4306476361023323e-37,13.541736614305467,1890.5246630068334
0.0,0.00016875620480987942,3.2423459370776344,9.843901446467795e-37,15.006902834101613,1471.5712551708298
0.0,0.00013534422379666048,3.2423459370776344,4.32907873380908e-36,16.49205434982612,1145.4608349836794
0.0,0.00010940302008249129,3.2423459370776344,1.316158628731394e-35,17.974343904153603,891.6187509582695
0.0,8.861198035598045e-05,3.2423459370776344,2.963925912762637e-35,19.453707049802112,694.0298374075028
0.0,7.129238510957942e-05,3.2423459370776344,5.231902829266383e-35,20.959924209575547,540.228000694468
0.0,5.661691571907256e-05,3.2423459370776344,7.54910162186691e-35,22.525868986692828,420.50972019374876
0.0,4.482629491690718e-05,3.2423459370776344,9.182402089286976e-35,24.09148322737073,327.32184290727326
0.0,3.5445419711050186e-05,3.2423459370776344,9.687504519818065e-35,25.656764571910486,254.7850470492083
0.0,2.794261580925903e-05,3.2423459370776344,9.092769413827421e-35,27.245049161163212,198.3229094132195
0.0,2.181794314388039e-05,3.2423459370776344,7.752024664725145e-35,28.913666871068983,154.37317398978942
0.0,1.7090586415962187e-05,3.2423459370776344,6.137003635070918e-35,30.58183307678069,120.16300546513308
0.0,1.3379623343961004e-05,3.2423459370776344,4.5860883409375224e-35,32.28590415736177,93.53404810714474
0.0,1.0423572185813373e-05,3.2423459370776344,3.2759920838149884e-35,34.06497542402657,72.80625281837018
0.0,8.102318983316223e-06,3.2423459370776344,2.2621210554081888e-35,35.90277995797523,56.671881060684356
0.0,6.3569006694270036e-06,3.2423459370776344,1.5250576819375602e-35,37.713804433691905,44.11299824712291
0.0,4.983201518615296e-06,3.2423459370776344,1.0098564334265651e-35,39.5682628140282,34.337251171651374
