Cosine_th,Density (gr/cm3),Energy (GeV),Height (km),Rho (1/GeV/sr/s/cm2),Slant depth (gr/cm2)
0.0,4.5202228410440214e-08,0.7759999999999999,78.38775510204081,1.7036532979852888e-26,0.14844274457711568
0.0,4.5202228410440214e-08,0.9515284103374788,78.38775510204081,1.7036532979852888e-26,0.14844274457711568
0.0,4.5202228410440214e-08,1.1667607160816622,78.38775510204081,1.7036532979852888e-26,0.14844274457711568
0.0,4.5202228410440214e-08,1.5559004211011234,78.38775510204081,1.4706189204801484e-26,0.14844274457711568
0.0,4.5202228410440214e-08,2.074826557850289,78.38775510204081,1.2959685081336466e-26,0.14844274457711568
0.0,4.5202228410440214e-08,2.7668256829150173,78.38775510204081,1.1316429629241006e-26,0.14844274457711568
0.0,4.5202228410440214e-08,3.689621347227101,78.38775510204081,8.534099866725374e-27,0.14844274457711568
0.0,4.5202228410440214e-08,4.920189143094657,78.38775510204081,5.357572893196707e-27,0.14844274457711568
0.0,4.5202228410440214e-08,6.561177672614025,78.38775510204081,3.0865964455235857e-27,0.14844274457711568
0.0,4.5202228410440214e-08,8.749471046662281,78.38775510204081,1.8546309926860657e-27,0.14844274457711568
0.0,4.5202228410440214e-08,11.667607160816619,78.38775510204081,1.121993513727594e-27,0.14844274457711568
0.0,4.5202228410440214e-08,15.559004211011233,78.38775510204081,6.61720564833041e-28,0.14844274457711568
0.0,4.5202228410440214e-08,20.748265578502885,78.38775510204081,3.859317827842853e-28,0.14844274457711568
0.0,4.5202228410440214e-08,27.66825682915017,78.38775510204081,2.1807226141069323e-28,0.14844274457711568
0.0,4.5202228410440214e-08,36.89621347227101,78.38775510204081,1.1880460129893438e-28,0.14844274457711568
0.0,4.5202228410440214e-08,49.20189143094657,78.38775510204081,6.380213607902898e-29,0.14844274457711568
0.0,4.5202228410440214e-08,65.61177672614025,78.38775510204081,3.49747207257833e-29,0.14844274457711568
0.0,4.5202228410440214e-08,87.49471046662279,78.38775510204081,1.9919249886452763e-29,0.14844274457711568
0.0,4.5202228410440214e-08,116.6760716081662,78.38775510204081,1.2116843965991844e-29,0.14844274457711568
0.0,4.5202228410440214e-08,155.59004211011234,78.38775510204081,7.593644752047485e-30,0.14844274457711568
0.0,4.5202228410440214e-08,207.48265578502892,78.38775510204081,4.7659307032121234e-30,0.14844274457711568
0.0,4.5202228410440214e-08,276.68256829150175,78.38775510204081,2.9885045695024197e-30,0.14844274457711568
0.0,4.5202228410440214e-08,368.9621347227101,78.38775510204081,1.885271812826714e-30,0.14844274457711568
0.0,4.5202228410440214e-08,492.0189143094657,78.38775510204081,1.1823669467016787e-30,0.14844274457711568
0.0,4.5202228410440214e-08,656.1177672614024,78.38775510204081,7.481434178557576e-31,0.14844274457711568
0.0,4.5202228410440214e-08,874.9471046662279,78.38775510204081,4.683842214992672e-31,0.14844274457711568
0.0,4.5202228410440214e-08,1166.760716081662,78.38775510204081,2.973789552644145e-31,0.14844274457711568
0.0,4.5202228410440214e-08,1555.9004211011234,78.38775510204081,1.8644249618560319e-31,0.14844274457711568
0.0,4.5202228410440214e-08,2074.8265578502887,78.38775510204081,1.1745873307510668e-31,0.14844274457711568
0.0,4.5202228410440214e-08,2766.8256829150173,78.38775510204081,7.404138588778252e-32,0.14844274457711568
0.0,4.5202228410440214e-08,3689.6213472271006,78.38775510204081,4.667246758497602e-32,0.14844274457711568
0.0,4.5202228410440214e-08,4920.189143094656,78.38775510204081,2.9448471940833177e-32,0.14844274457711568
0.0,4.5202228410440214e-08,6561.177672614024,78.38775510204081,1.851122801688757e-32,0.14844274457711568
0.0,4.5202228410440214e-08,8749.471046662278,78.38775510204081,1.164611171748644e-32,0.14844274457711568
0.0,4.5202228410440214e-08,11667.60716081662,78.38775510204081,7.292290066636125e-33,0.14844274457711568
0.0,4.5202228410440214e-08,15559.004211011234,78.38775510204081,4.578738837734657e-33,0.14844274457711568
0.0,4.5202228410440214e-08,20748.26557850289,78.38775510204081,2.8554587075002923e-33,0.14844274457711568
0.0,4.5202228410440214e-08,27668.25682915017,78.38775510204081,1.7766759167732648e-33,0.14844274457711568
0.0,4.5202228410440214e-08,36896.213472271,78.38775510204081,1.0968117223798659e-33,0.14844274457711568
0.0,4.5202228410440214e-08,49201.89143094656,78.38775510204081,6.726841301540663e-34,0.14844274457711568
0.0,4.5202228410440214e-08,65611.77672614025,78.38775510204081,4.1365901700358574e-34,0.14844274457711568
0.0,4.5202228410440214e-08,87494.71046662277,78.38775510204081,2.502534623346824e-34,0.14844274457711568
0.0,4.5202228410440214e-08,116676.0716081662,78.38775510204081,1.502988025464886e-34,0.14844274457711568
0.0,4.5202228410440214e-08,155590.04211011232,78.38775510204081,8.879521756092906e-35,0.14844274457711568
0.0,4.5202228410440214e-08,207482.6557850289,78.38775510204081,5.160160914929934e-35,0.14844274457711568
0.0,4.5202228410440214e-08,276682.5682915017,78.38775510204081,2.9673265885143513e-35,0.14844274457711568
0.0,4.5202228410440214e-08,368962.13472271006,78.38775510204081,1.6687678050262038e-35,0.14844274457711568
0.0,4.5202228410440214e-08,492018.9143094657,78.38775510204081,9.1670271965969e-36,0.14844274457711568
0.0,4.5202228410440214e-08,656117.7672614024,78.38775510204081,5.0119193432848964e-36,0.14844274457711568
0.0,4.5202228410440214e-08,874947.1046662279,78.38775510204081,2.631376924145999e-36,0.14844274457711568
0.0,4.5202228410440214e-08,1166760.716081662,78.38775510204081,1.357635380596246e-36,0.14844274457711568
0.0,4.5202228410440214e-08,1555900.4211011238,78.38775510204081,6.877279724530884e-37,0.14844274457711568
0.0,4.5202228410440214e-08,2074826.5578502887,78.38775510204081,3.459863979405458e-37,0.14844274457711568
0.0,4.5202228410440214e-08,2766825.682915017,78.38775510204081,1.7312992212682236e-37,0.14844274457711568
0.0,4.5202228410440214e-08,3689621.347227101,78.38775510204081,8.607212937094302e-38,0.14844274457711568
0.0,4.5202228410440214e-08,4920189.143094657,78.38775510204081,4.3865581624985397e-38,0.14844274457711568
0.0,4.5202228410440214e-08,6561177.672614025,78.38775510204081,2.23397126464006e-38,0.14844274457711568
0.0,4.5202228410440214e-08,8749471.046662277,78.38775510204081,1.141487902845599e-38,0.14844274457711568
0.0,4.5202228410440214e-08,11667607.16081662,78.38775510204081,6.006014743283924e-39,0.14844274457711568
0.0,4.5202228410440214e-08,15559004.211011235,78.38775510204081,3.1395420762079193e-39,0.14844274457711568
0.0,4.5202228410440214e-08,20748265.57850289,78.38775510204081,1.6878102130910025e-39,0.14844274457711568
0.0,4.5202228410440214e-08,27668256.82915017,78.38775510204081,9.29600605784975e-40,0.14844274457711568
0.0,4.5202228410440214e-08,36896213.47227101,78.38775510204081,5.3004644562831636e-40,0.14844274457711568
