Cosine_th,Density (gr/cm3),Energy (GeV),Height (km),Phi (1/GeV/sr/s/cm2),Slant depth (gr/cm2)
0.0,4.5202228410440214e-08,1.0190000000000001,78.38775510204081,4.486542198671601e-29,0.14844274457711568
0.0,4.5202228410440214e-08,1.090380286728999,78.38775510204081,4.486542198671601e-29,0.14844274457711568
0.0,4.5202228410440214e-08,1.1667607160816622,78.38775510204081,4.486542198671601e-29,0.14844274457711568
0.0,4.5202228410440214e-08,1.5559004211011234,78.38775510204081,3.9273508377929218e-28,0.14844274457711568
0.0,4.5202228410440214e-08,2.074826557850289,78.38775510204081,1.1229688503513483e-27,0.14844274457711568
0.0,4.5202228410440214e-08,2.7668256829150173,78.38775510204081,2.146936896479669e-27,0.14844274457711568
0.0,4.5202228410440214e-08,3.689621347227101,78.38775510204081,2.572914084694577e-27,0.14844274457711568
0.0,4.5202228410440214e-08,4.920189143094657,78.38775510204081,2.1561433310948287e-27,0.14844274457711568
0.0,4.5202228410440214e-08,6.561177672614025,78.38775510204081,1.484054761642816e-27,0.14844274457711568
0.0,4.5202228410440214e-08,8.749471046662281,78.38775510204081,1.1198593780256222e-27,0.14844274457711568
0.0,4.5202228410440214e-08,11.667607160816619,78.38775510204081,1.0992565808063088e-27,0.14844274457711568
0.0,4.5202228410440214e-08,15.559004211011233,78.38775510204081,8.144774868006692e-28,0.14844274457711568
0.0,4.5202228410440214e-08,20.748265578502885,78.38775510204081,5.117196678932705e-28,0.14844274457711568
0.0,4.5202228410440214e-08,27.66825682915017,78.38775510204081,3.264427189222236e-28,0.14844274457711568
0.0,4.5202228410440214e-08,36.89621347227101,78.38775510204081,2.075307949593689e-28,0.14844274457711568
0.0,4.5202228410440214e-08,49.20189143094657,78.38775510204081,1.3078101925184397e-28,0.14844274457711568
0.0,4.5202228410440214e-08,65.61177672614025,78.38775510204081,8.249141060242189e-29,0.14844274457711568
0.0,4.5202228410440214e-08,87.49471046662279,78.38775510204081,5.092516499397084e-29,0.14844274457711568
0.0,4.5202228410440214e-08,116.6760716081662,78.38775510204081,3.14962619646935e-29,0.14844274457711568
0.0,4.5202228410440214e-08,155.59004211011234,78.38775510204081,1.9013907212571044e-29,0.14844274457711568
0.0,4.5202228410440214e-08,207.48265578502892,78.38775510204081,1.1998444004058278e-29,0.14844274457711568
0.0,4.5202228410440214e-08,276.68256829150175,78.38775510204081,7.416469403691862e-30,0.14844274457711568
0.0,4.5202228410440214e-08,368.9621347227101,78.38775510204081,4.606449129319298e-30,0.14844274457711568
0.0,4.5202228410440214e-08,492.0189143094657,78.38775510204081,2.8697429426326994e-30,0.14844274457711568
0.0,4.5202228410440214e-08,656.1177672614024,78.38775510204081,1.7979724135799024e-30,0.14844274457711568
0.0,4.5202228410440214e-08,874.9471046662279,78.38775510204081,1.1203155409487672e-30,0.14844274457711568
0.0,4.5202228410440214e-08,1166.760716081662,78.38775510204081,7.063140578932999e-31,0.14844274457711568
0.0,4.5202228410440214e-08,1555.9004211011234,78.38775510204081,4.448082753384851e-31,0.14844274457711568
0.0,4.5202228410440214e-08,2074.8265578502887,78.38775510204081,2.7969069345228807e-31,0.14844274457711568
0.0,4.5202228410440214e-08,2766.8256829150173,78.38775510204081,1.7558066161629376e-31,0.14844274457711568
0.0,4.5202228410440214e-08,3689.6213472271006,78.38775510204081,1.1062000092423288e-31,0.14844274457711568
0.0,4.5202228410440214e-08,4920.189143094656,78.38775510204081,6.921724198361348e-32,0.14844274457711568
0.0,4.5202228410440214e-08,6561.177672614024,78.38775510204081,4.3719001423874395e-32,0.14844274457711568
0.0,4.5202228410440214e-08,8749.471046662278,78.38775510204081,2.7340935382567384e-32,0.14844274457711568
0.0,4.5202228410440214e-08,11667.60716081662,78.38775510204081,1.693325275175885e-32,0.14844274457711568
0.0,4.5202228410440214e-08,15559.004211011234,78.38775510204081,1.0650085957062875e-32,0.14844274457711568
0.0,4.5202228410440214e-08,20748.26557850289,78.38775510204081,6.59802284415001e-33,0.14844274457711568
0.0,4.5202228410440214e-08,27668.25682915017,78.38775510204081,4.1321755625851366e-33,0.14844274457711568
0.0,4.5202228410440214e-08,36896.213472271,78.38775510204081,2.5350652044736964e-33,0.14844274457711568
0.0,4.5202228410440214e-08,49201.89143094656,78.38775510204081,1.5737677377769722e-33,0.14844274457711568
0.0,4.5202228410440214e-08,65611.77672614025,78.38775510204081,9.598408825873435e-34,0.14844274457711568
0.0,4.5202228410440214e-08,87494.71046662277,78.38775510204081,5.764416137029943e-34,0.14844274457711568
0.0,4.5202228410440214e-08,116676.0716081662,78.38775510204081,3.4353000628508378e-34,0.14844274457711568
0.0,4.5202228410440214e-08,155590.04211011232,78.38775510204081,2.017741993144269e-34,0.14844274457711568
0.0,4.5202228410440214e-08,207482.6557850289,78.38775510204081,1.1760463489626584e-34,0.14844274457711568
0.0,4.5202228410440214e-08,276682.5682915017,78.38775510204081,6.633696967198174e-35,0.14844274457711568
0.0,4.5202228410440214e-08,368962.13472271006,78.38775510204081,3.757035336401977e-35,0.14844274457711568
0.0,4.5202228410440214e-08,492018.9143094657,78.38775510204081,2.0442747615991053e-35,0.14844274457711568
0.0,4.5202228410440214e-08,656117.7672614024,78.38775510204081,1.1000248317490409e-35,0.14844274457711568
0.0,4.5202228410440214e-08,874947.1046662279,78.38775510204081,5.7863424160735267e-36,0.14844274457711568
0.0,4.5202228410440214e-08,1166760.716081662,78.38775510204081,2.9770092517241807e-36,0.14844274457711568
0.0,4.5202228410440214e-08,1555900.4211011238,78.38775510204081,1.4751431457301183e-36,0.14844274457711568
0.0,4.5202228410440214e-08,2074826.5578502887,78.38775510204081,7.392967097092318e-37,0.14844274457711568
0.0,4.5202228410440214e-08,2766825.682915017,78.38775510204081,3.6982608633074933e-37,0.14844274457711568
0.0,4.5202228410440214e-08,3689621.347227101,78.38775510204081,1.86023231809982e-37,0.14844274457711568
0.0,4.5202228410440214e-08,4920189.143094657,78.38775510204081,9.42032027201756e-38,0.14844274457711568
0.0,4.5202228410440214e-08,6561177.672614025,78.38775510204081,4.842702497270875e-38,0.14844274457711568
0.0,4.5202228410440214e-08,8749471.046662277,78.38775510204081,2.527544953047265e-38,0.14844274457711568
0.0,4.5202228410440214e-08,11667607.16081662,78.38775510204081,1.3225237347697971e-38,0.14844274457711568
0.0,4.5202228410440214e-08,15559004.211011235,78.38775510204081,6.810717813539567e-39,0.14844274457711568
0.0,4.5202228410440214e-08,20748265.57850289,78.38775510204081,3.670996267503245e-39,0.14844274457711568
0.0,4.5202228410440214e-08,27668256.82915017,78.38775510204081,2.0679216714190644e-39,0.14844274457711568
0.0,4.5202228410440214e-08,36896213.47227101,78.38775510204081,1.1740803139823813e-39,0.14844274457711568
0.0,4.5202228410440214e-08,49201891.43094657,78.38775510204081,6.923982077005664e-40,0.14844274457711568
0.0,4.5202228410440214e-08,65611776.72614025,78.38775510204081,4.173472967839649e-40,0.14844274457711568
0.0,4.5202228410440214e-08,87494710.4666228,78.38775510204081,2.4293996088549216e-40,0.14844274457711568
0.0,4.5202228410440214e-08,116676071.60816622,78.38775510204081,1.4305878027383076e-40,0.14844274457711568
0.0,4.5202228410440214e-08,155590042.11011234,78.38775510204081,8.130655292423099e-41,0.14844274457711568
0.0,4.5202228410440214e-08,207482655.7850289,78.38775510204081,4.4367420315470147e-41,0.14844274457711568
0.0,4.5202228410440214e-08,276682568.29150176,78.38775510204081,2.376180263574288e-41,0.14844274457711568
0.0,4.5202228410440214e-08,368962134.7227101,78.38775510204081,1.2068603351870043e-41,0.14844274457711568
0.0,4.5202228410440214e-08,492018914.3094657,78.38775510204081,5.900327829361549e-42,0.14844274457711568
0.0,4.5202228410440214e-08,656117767.2614025,78.38775510204081,2.699018546565601e-42,0.14844274457711568
0.0,4.5202228410440214e-08,874947104.6662278,78.38775510204081,1.1584435338662371e-42,0.14844274457711568
0.0,4.5202228410440214e-08,1166760716.0816624,78.38775510204081,4.5476865256554635e-43,0.14844274457711568
0.0,4.5202228410440214e-08,1555900421.1011233,78.38775510204081,1.6295645083776653e-43,0.14844274457711568
0.0,4.5202228410440214e-08,2074826557.850289,78.38775510204081,4.987301969673785e-44,0.14844274457711568
0.0,4.5202228410440214e-08,2766825682.915017,78.38775510204081,1.4764534356123047e-44,0.14844274457711568
0.0,4.5202228410440214e-08,3689621347.227101,78.38775510204081,3.3378208252782e-45,0.14844274457711568
0.0,4.5202228410440214e-08,4920189143.094657,78.38775510204081,6.496436801003209e-46,0.14844274457711568
0.0,4.5202228410440214e-08,6561177672.614025,78.38775510204081,8.423591298769525e-47,0.14844274457711568
0.0,4.5202228410440214e-08,8749471046.66228,78.38775510204081,8.504688153052797e-48,0.14844274457711568
0.0,4.5202228410440214e-08,11667607160.81662,78.38775510204081,8.981517869542503e-49,0.14844274457711568
0.0,4.5202228410440214e-08,15559004211.011234,78.38775510204081,2.9208665234235047e-50,0.14844274457711568
0.0,4.5202228410440214e-08,20748265578.50289,78.38775510204081,4.023662744651109e-52,0.14844274457711568
0.0,4.5202228410440214e-08,27668256829.150173,78.38775510204081,4.061227489661569e-54,0.14844274457711568
0.0,4.5202228410440214e-08,36896213472.27101,78.38775510204081,3.388558634571576e-57,0.14844274457711568
0.0,4.5202228410440214e-08,49201891430.94656,78.38775510204081,2.4181257610316227e-58,0.14844274457711568
0.0,4.5202228410440214e-08,65611776726.140236,78.38775510204081,4.447949520162337e-62,0.14844274457711568
0.0,5.710678106862527e-08,1.0190000000000001,76.77551020408163,6.229696018817738e-29,0.20406879846836373
0.0,5.710678106862527e-08,1.090380286728999,76.77551020408163,6.229696018817738e-29,0.20406879846836373
0.0,5.710678106862527e-08,1.1667607160816622,76.77551020408163,6.229696018817738e-29,0.20406879846836373
0.0,5.710678106862527e-08,1.5559004211011234,76.77551020408163,5.453224323670539e-28,0.20406879846836373
0.0,5.710678106862527e-08,2.074826557850289,76.77551020408163,1.5592693012914518e-27,0.20406879846836373
0.0,5.710678106862527e-08,2.7668256829150173,76.77551020408163,2.9810695378669944e-27,0.20406879846836373
0.0,5.710678106862527e-08,3.689621347227101,76.77551020408163,3.5725447963704276e-27,0.20406879846836373
0.0,5.710678106862527e-08,4.920189143094657,76.77551020408163,2.993849586780129e-27,0.20406879846836373
0.0,5.710678106862527e-08,6.561177672614025,76.77551020408163,2.060640992759384e-27,0.20406879846836373
0.0,5.710678106862527e-08,8.749471046662281,76.77551020408163,1.5549515772963943e-27,0.20406879846836373
0.0,5.710678106862527e-08,11.667607160816619,76.77551020408163,1.5263448787956133e-27,0.20406879846836373
0.0,5.710678106862527e-08,15.559004211011233,76.77551020408163,1.130924730559379e-27,0.20406879846836373
0.0,5.710678106862527e-08,20.748265578502885,76.77551020408163,7.105396923645446e-28,0.20406879846836373
0.0,5.710678106862527e-08,27.66825682915017,76.77551020408163,4.532782069176338e-28,0.20406879846836373
0.0,5.710678106862527e-08,36.89621347227101,76.77551020408163,2.881653423658728e-28,0.20406879846836373
0.0,5.710678106862527e-08,49.20189143094657,76.77551020408163,1.8159535452953819e-28,0.20406879846836373
0.0,5.710678106862527e-08,65.61177672614025,76.77551020408163,1.145431807001507e-28,0.20406879846836373
0.0,5.710678106862527e-08,87.49471046662279,76.77551020408163,7.071199394798598e-29,0.20406879846836373
0.0,5.710678106862527e-08,116.6760716081662,76.77551020408163,4.3734020089971187e-29,0.20406879846836373
0.0,5.710678106862527e-08,155.59004211011234,76.77551020408163,2.6401686873549825e-29,0.20406879846836373
0.0,5.710678106862527e-08,207.48265578502892,76.77551020408163,1.6660375158768133e-29,0.20406879846836373
0.0,5.710678106862527e-08,276.68256829150175,76.77551020408163,1.0298087185022232e-29,0.20406879846836373
0.0,5.710678106862527e-08,368.9621347227101,76.77551020408163,6.39624600554769e-30,0.20406879846836373
0.0,5.710678106862527e-08,492.0189143094657,76.77551020408163,3.984751812022442e-30,0.20406879846836373
0.0,5.710678106862527e-08,656.1177672614024,76.77551020408163,2.496550232903876e-30,0.20406879846836373
0.0,5.710678106862527e-08,874.9471046662279,76.77551020408163,1.5555967369901673e-30,0.20406879846836373
0.0,5.710678106862527e-08,1166.760716081662,76.77551020408163,9.807382459702828e-31,0.20406879846836373
0.0,5.710678106862527e-08,1555.9004211011234,76.77551020408163,6.176279764073412e-31,0.20406879846836373
