Cosine_th,Density (gr/cm3),Energy (GeV),Height (km),Omega (1/GeV/sr/s/cm2),Slant depth (gr/cm2)
0.0,4.5202228410440214e-08,0.7829999999999999,78.38775510204081,1.5658511223353814e-25,0.14844274457711568
0.0,4.5202228410440214e-08,0.9558104627445452,78.38775510204081,1.5658511223353814e-25,0.14844274457711568
0.0,4.5202228410440214e-08,1.1667607160816622,78.38775510204081,1.5658511223353814e-25,0.14844274457711568
0.0,4.5202228410440214e-08,1.5559004211011234,78.38775510204081,1.95987896656616e-25,0.14844274457711568
0.0,4.5202228410440214e-08,2.074826557850289,78.38775510204081,1.9775199204793984e-25,0.14844274457711568
0.0,4.5202228410440214e-08,2.7668256829150173,78.38775510204081,1.811500488743567e-25,0.14844274457711568
0.0,4.5202228410440214e-08,3.689621347227101,78.38775510204081,1.4135780548591632e-25,0.14844274457711568
0.0,4.5202228410440214e-08,4.920189143094657,78.38775510204081,8.978488553210776e-26,0.14844274457711568
0.0,4.5202228410440214e-08,6.561177672614025,78.38775510204081,5.237801920041379e-26,0.14844274457711568
0.0,4.5202228410440214e-08,8.749471046662281,78.38775510204081,3.163053914422284e-26,0.14844274457711568
0.0,4.5202228410440214e-08,11.667607160816619,78.38775510204081,1.9044790380047297e-26,0.14844274457711568
0.0,4.5202228410440214e-08,15.559004211011233,78.38775510204081,1.1309865905887869e-26,0.14844274457711568
0.0,4.5202228410440214e-08,20.748265578502885,78.38775510204081,6.581947045735332e-27,0.14844274457711568
0.0,4.5202228410440214e-08,27.66825682915017,78.38775510204081,3.7205071096434605e-27,0.14844274457711568
0.0,4.5202228410440214e-08,36.89621347227101,78.38775510204081,2.0351388776635128e-27,0.14844274457711568
0.0,4.5202228410440214e-08,49.20189143094657,78.38775510204081,1.0895678098712812e-27,0.14844274457711568
0.0,4.5202228410440214e-08,65.61177672614025,78.38775510204081,5.9880845028411415e-28,0.14844274457711568
0.0,4.5202228410440214e-08,87.49471046662279,78.38775510204081,3.4340793119539147e-28,0.14844274457711568
0.0,4.5202228410440214e-08,116.6760716081662,78.38775510204081,2.0832202322085643e-28,0.14844274457711568
0.0,4.5202228410440214e-08,155.59004211011234,78.38775510204081,1.3034178529700912e-28,0.14844274457711568
0.0,4.5202228410440214e-08,207.48265578502892,78.38775510204081,8.180769127910877e-29,0.14844274457711568
0.0,4.5202228410440214e-08,276.68256829150175,78.38775510204081,5.157483046153528e-29,0.14844274457711568
0.0,4.5202228410440214e-08,368.9621347227101,78.38775510204081,3.2460643843032157e-29,0.14844274457711568
0.0,4.5202228410440214e-08,492.0189143094657,78.38775510204081,2.0484371944132194e-29,0.14844274457711568
0.0,4.5202228410440214e-08,656.1177672614024,78.38775510204081,1.283693852937696e-29,0.14844274457711568
0.0,4.5202228410440214e-08,874.9471046662279,78.38775510204081,8.097075030833593e-30,0.14844274457711568
0.0,4.5202228410440214e-08,1166.760716081662,78.38775510204081,5.09155017475289e-30,0.14844274457711568
0.0,4.5202228410440214e-08,1555.9004211011234,78.38775510204081,3.226047162538163e-30,0.14844274457711568
0.0,4.5202228410440214e-08,2074.8265578502887,78.38775510204081,2.033451928580525e-30,0.14844274457711568
0.0,4.5202228410440214e-08,2766.8256829150173,78.38775510204081,1.280156197808271e-30,0.14844274457711568
0.0,4.5202228410440214e-08,3689.6213472271006,78.38775510204081,8.079414706567979e-31,0.14844274457711568
0.0,4.5202228410440214e-08,4920.189143094656,78.38775510204081,5.090820213139077e-31,0.14844274457711568
0.0,4.5202228410440214e-08,6561.177672614024,78.38775510204081,3.198767953574586e-31,0.14844274457711568
0.0,4.5202228410440214e-08,8749.471046662278,78.38775510204081,2.013741318048469e-31,0.14844274457711568
0.0,4.5202228410440214e-08,11667.60716081662,78.38775510204081,1.2630237476674388e-31,0.14844274457711568
0.0,4.5202228410440214e-08,15559.004211011234,78.38775510204081,7.934366059870478e-32,0.14844274457711568
