Cosine_th,Density (gr/cm3),Energy (GeV),Height (km),Pi0 (1/GeV/sr/s/cm2),Slant depth (gr/cm2)
0.0,4.5202228410440214e-08,0.13497,78.38775510204081,3.0312717323312966e-18,0.14844274457711568
0.0,4.5202228410440214e-08,0.1933576412988638,78.38775510204081,3.0312717323312966e-18,0.14844274457711568
0.0,4.5202228410440214e-08,0.2770036115333783,78.38775510204081,3.0312717323312966e-18,0.14844274457711568
0.0,4.5202228410440214e-08,0.3968345925565738,78.38775510204081,3.0312717323312966e-18,0.14844274457711568
0.0,4.5202228410440214e-08,0.5685041179709177,78.38775510204081,3.0312717323312966e-18,0.14844274457711568
0.0,4.5202228410440214e-08,0.8144373958623964,78.38775510204081,3.0312717323312966e-18,0.14844274457711568
0.0,4.5202228410440214e-08,1.1667607160816622,78.38775510204081,3.0312717323312966e-18,0.14844274457711568
0.0,4.5202228410440214e-08,1.5559004211011234,78.38775510204081,2.2236790632132572e-18,0.14844274457711568
0.0,4.5202228410440214e-08,2.074826557850289,78.38775510204081,1.748993754379539e-18,0.14844274457711568
0.0,4.5202228410440214e-08,2.7668256829150173,78.38775510204081,1.5125647172601252e-18,0.14844274457711568
0.0,4.5202228410440214e-08,3.689621347227101,78.38775510204081,1.1252232010552056e-18,0.14844274457711568
0.0,4.5202228410440214e-08,4.920189143094657,78.38775510204081,7.182508688700975e-19,0.14844274457711568
0.0,4.5202228410440214e-08,6.561177672614025,78.38775510204081,4.1694448140344364e-19,0.14844274457711568
0.0,4.5202228410440214e-08,8.749471046662281,78.38775510204081,2.574761927330913e-19,0.14844274457711568
0.0,4.5202228410440214e-08,11.667607160816619,78.38775510204081,1.6545731992236914e-19,0.14844274457711568
0.0,4.5202228410440214e-08,15.559004211011233,78.38775510204081,1.0480801399886304e-19,0.14844274457711568
0.0,4.5202228410440214e-08,20.748265578502885,78.38775510204081,6.682530177387522e-20,0.14844274457711568
0.0,4.5202228410440214e-08,27.66825682915017,78.38775510204081,4.303542374468498e-20,0.14844274457711568
0.0,4.5202228410440214e-08,36.89621347227101,78.38775510204081,2.756670613483875e-20,0.14844274457711568
0.0,4.5202228410440214e-08,49.20189143094657,78.38775510204081,1.7301629301259398e-20,0.14844274457711568
0.0,4.5202228410440214e-08,65.61177672614025,78.38775510204081,1.0744982936016908e-20,0.14844274457711568
0.0,4.5202228410440214e-08,87.49471046662279,78.38775510204081,6.573711054374128e-21,0.14844274457711568
0.0,4.5202228410440214e-08,116.6760716081662,78.38775510204081,4.0064723810479716e-21,0.14844274457711568
0.0,4.5202228410440214e-08,155.59004211011234,78.38775510204081,2.452597676421068e-21,0.14844274457711568
0.0,4.5202228410440214e-08,207.48265578502892,78.38775510204081,1.5072549681850145e-21,0.14844274457711568
0.0,4.5202228410440214e-08,276.68256829150175,78.38775510204081,9.253202510052077e-22,0.14844274457711568
0.0,4.5202228410440214e-08,368.9621347227101,78.38775510204081,5.745613479943558e-22,0.14844274457711568
0.0,4.5202228410440214e-08,492.0189143094657,78.38775510204081,3.557553416517461e-22,0.14844274457711568
0.0,4.5202228410440214e-08,656.1177672614024,78.38775510204081,2.2174358997915417e-22,0.14844274457711568
0.0,4.5202228410440214e-08,874.9471046662279,78.38775510204081,1.3767865896321785e-22,0.14844274457711568
0.0,4.5202228410440214e-08,1166.760716081662,78.38775510204081,8.583086369233823e-23,0.14844274457711568
0.0,4.5202228410440214e-08,1555.9004211011234,78.38775510204081,5.36084889563586e-23,0.14844274457711568
0.0,4.5202228410440214e-08,2074.8265578502887,78.38775510204081,3.353954028412484e-23,0.14844274457711568
0.0,4.5202228410440214e-08,2766.8256829150173,78.38775510204081,2.0971000045064235e-23,0.14844274457711568
0.0,4.5202228410440214e-08,3689.6213472271006,78.38775510204081,1.3122134716995726e-23,0.14844274457711568
0.0,4.5202228410440214e-08,4920.189143094656,78.38775510204081,8.21020293177964e-24,0.14844274457711568
0.0,4.5202228410440214e-08,6561.177672614024,78.38775510204081,5.122257850821242e-24,0.14844274457711568
0.0,4.5202228410440214e-08,8749.471046662278,78.38775510204081,3.2115871981209693e-24,0.14844274457711568
0.0,4.5202228410440214e-08,11667.60716081662,78.38775510204081,2.0103648476173026e-24,0.14844274457711568
0.0,4.5202228410440214e-08,15559.004211011234,78.38775510204081,1.2531107914502195e-24,0.14844274457711568
